policyholder_id,age,gender,policy_type,annual_premium,policy_start_date,policy_duration_months,has_claim,claim_amount,region
1,65,Male,Motor,1042.58,2020-07-03,23,0,0.0,North West
2,59,Male,Home,385.81,2019-01-19,33,0,0.0,South East
3,60,Male,Life,2193.58,2022-09-15,34,0,0.0,Midlands
4,25,Male,Life,1218.68,2019-09-29,33,0,0.0,Midlands
5,30,Female,Motor,2588.23,2020-12-19,11,0,0.0,South East
6,49,Male,Home,2539.39,2022-01-21,30,0,0.0,London
7,39,Female,Health,2609.36,2019-02-18,54,0,0.0,North West
8,48,Male,Home,865.67,2020-12-29,15,0,0.0,London
9,71,Male,Motor,1324.53,2020-06-18,47,0,0.0,North West
10,39,Male,Life,1383.14,2018-09-29,33,0,0.0,South East
11,70,Female,Motor,1647.92,2023-02-23,24,0,0.0,London
12,60,Female,Life,1456.77,2022-06-24,52,1,14964.3,South East
13,30,Male,Health,712.67,2019-10-18,60,0,0.0,Midlands
14,63,Female,Home,2921.91,2018-02-17,20,0,0.0,South East
15,42,Female,Motor,1473.87,2023-02-02,6,0,0.0,Scotland
16,41,Male,Home,587.31,2021-05-07,70,0,0.0,London
17,73,Male,Home,2402.29,2023-12-13,6,0,0.0,South East
18,32,Female,Health,2545.5,2021-06-13,36,1,13231.14,Wales
19,30,Female,Life,2940.56,2023-12-22,22,1,7391.59,South East
20,41,Female,Health,2808.07,2020-04-03,45,0,0.0,North West
21,48,Female,Health,1519.01,2020-10-12,34,1,805.0,South East
22,62,Male,Motor,2211.17,2018-08-30,35,1,955.49,Midlands
23,57,Male,Motor,1610.62,2019-06-26,66,0,0.0,South East
24,51,Male,Motor,2079.25,2021-12-22,60,0,0.0,Scotland
25,28,Male,Motor,2266.18,2019-03-24,37,1,8276.14,London
26,36,Female,Home,2661.11,2018-11-05,62,0,0.0,Scotland
27,31,Male,Life,1759.59,2018-03-02,17,0,0.0,Scotland
28,35,Female,Home,877.12,2022-07-01,13,1,531.25,Midlands
29,75,Female,Motor,2180.8,2023-06-17,25,1,3656.66,London
30,72,Male,Life,454.35,2023-05-07,70,0,0.0,South East
31,28,Male,Health,485.01,2018-10-06,36,0,0.0,Wales
32,61,Male,Home,407.3,2018-12-02,59,0,0.0,South East
33,45,Female,Motor,2233.72,2020-09-04,39,0,0.0,North West
34,44,Female,Motor,2330.03,2018-10-25,7,0,0.0,Wales
35,31,Male,Home,1665.89,2019-06-27,50,0,0.0,Scotland
36,48,Female,Motor,2551.11,2021-05-24,7,0,0.0,South East
37,67,Male,Health,662.59,2019-04-18,19,0,0.0,London
38,43,Male,Life,849.71,2020-12-17,70,0,0.0,Scotland
39,28,Male,Home,2539.24,2018-06-30,6,0,0.0,London
40,41,Male,Life,1789.54,2022-10-18,7,1,14203.24,North West
41,34,Male,Life,1872.78,2019-08-30,61,1,4969.75,Scotland
42,75,Male,Health,867.21,2020-10-19,19,0,0.0,South East
43,51,Male,Health,939.19,2019-10-28,28,0,0.0,London
44,72,Female,Life,1411.63,2020-10-13,40,1,10668.53,Midlands
45,27,Female,Motor,2504.78,2023-03-01,50,0,0.0,North West
46,39,Male,Motor,821.45,2021-09-06,41,0,0.0,Wales
47,42,Female,Home,1379.13,2021-09-18,9,1,14570.81,London
48,41,Male,Motor,1473.32,2021-07-08,61,0,0.0,South East
49,49,Male,Motor,2213.72,2018-01-07,72,0,0.0,South East
50,71,Male,Home,488.93,2021-09-14,46,0,0.0,London
51,44,Female,Life,1180.69,2021-04-26,22,1,10141.48,Midlands
52,72,Male,Home,1112.56,2018-01-02,44,0,0.0,Midlands
53,62,Female,Home,1493.83,2020-05-25,71,0,0.0,Scotland
54,75,Male,Life,1066.22,2021-10-04,17,0,0.0,North West
55,68,Female,Motor,837.65,2018-04-11,11,0,0.0,South East
56,74,Male,Home,2692.57,2020-03-07,55,0,0.0,London
57,66,Male,Health,2623.19,2019-03-13,60,1,12159.59,North West
58,54,Male,Home,2777.17,2019-05-13,64,1,7237.33,South East
59,60,Female,Health,2706.85,2023-08-30,60,0,0.0,South East
60,35,Female,Home,2329.8,2021-02-09,72,0,0.0,London
61,53,Male,Life,933.13,2021-10-07,46,0,0.0,London
62,34,Male,Home,712.57,2020-05-26,14,0,0.0,Midlands
63,54,Female,Motor,2548.81,2022-05-15,8,0,0.0,North West
64,49,Female,Motor,1249.75,2022-05-17,59,0,0.0,North West
65,63,Male,Home,1036.93,2023-06-13,9,0,0.0,North West
66,50,Male,Life,2782.76,2023-12-28,9,0,0.0,South East
67,67,Male,Motor,1457.25,2023-03-07,29,1,5997.01,London
68,45,Female,Life,1323.64,2022-09-23,38,0,0.0,South East
69,72,Male,Health,1244.89,2018-10-09,11,0,0.0,Wales
70,37,Male,Home,944.07,2023-04-24,20,0,0.0,London
71,69,Female,Life,753.03,2019-04-15,26,0,0.0,London
72,26,Female,Home,2751.67,2022-03-18,56,0,0.0,London
73,62,Male,Motor,2385.7,2019-05-11,11,0,0.0,Midlands
74,48,Male,Home,1221.32,2022-09-17,68,1,14431.42,North West
75,54,Male,Home,2281.25,2021-01-11,67,0,0.0,Scotland
76,62,Female,Motor,962.84,2018-12-21,41,0,0.0,London
77,54,Female,Motor,1634.63,2021-08-24,29,0,0.0,Midlands
78,41,Female,Motor,1909.62,2021-02-05,7,0,0.0,London
79,40,Female,Home,2347.04,2023-05-05,68,0,0.0,London
80,43,Male,Home,956.92,2022-02-20,66,0,0.0,Midlands
81,72,Female,Home,1525.11,2021-06-09,38,0,0.0,North West
82,45,Male,Life,2867.37,2020-01-29,30,1,7520.88,North West
83,73,Female,Health,2548.1,2021-04-28,35,0,0.0,Midlands
84,70,Male,Motor,2930.6,2021-04-11,22,0,0.0,North West
85,31,Male,Home,1567.37,2022-12-10,49,1,1244.96,Wales
86,55,Male,Life,1381.91,2018-10-31,12,1,12261.56,Wales
87,30,Male,Motor,2364.0,2020-07-13,72,0,0.0,Scotland
88,44,Female,Motor,1976.77,2019-02-11,32,0,0.0,Midlands
89,30,Male,Motor,1790.38,2019-10-04,6,0,0.0,North West
90,55,Female,Motor,1077.88,2021-03-04,64,1,3884.65,Midlands
91,75,Male,Home,1770.32,2019-09-03,40,0,0.0,London
92,35,Female,Home,2525.45,2021-03-28,62,1,10485.83,North West
93,42,Female,Home,1914.7,2022-11-05,47,0,0.0,London
94,39,Male,Health,2115.16,2021-01-08,11,0,0.0,London
95,58,Female,Health,790.02,2022-11-21,68,0,0.0,South East
96,51,Female,Motor,582.42,2019-10-21,48,0,0.0,South East
97,67,Female,Life,1785.26,2023-02-06,17,0,0.0,Midlands
98,74,Female,Health,2527.3,2018-01-05,65,0,0.0,London
99,48,Female,Home,2351.97,2020-04-13,40,0,0.0,Wales
100,53,Female,Motor,2927.5,2020-09-07,26,0,0.0,London
101,51,Male,Motor,2571.8,2019-04-10,65,0,0.0,North West
102,34,Female,Health,1088.03,2021-01-24,59,0,0.0,Wales
103,40,Female,Home,1335.68,2023-09-13,23,0,0.0,Midlands
104,75,Female,Motor,2426.84,2020-12-30,6,0,0.0,Midlands
105,62,Female,Health,1505.68,2023-06-07,50,0,0.0,North West
106,49,Female,Health,2647.92,2020-09-05,55,0,0.0,North West
107,27,Female,Life,2204.12,2022-04-11,55,0,0.0,North West
108,66,Male,Home,399.95,2023-08-20,48,0,0.0,Scotland
109,53,Male,Home,1533.71,2019-08-14,58,0,0.0,Wales
110,29,Female,Life,1015.56,2022-06-17,16,0,0.0,Scotland
111,59,Female,Health,1992.36,2023-06-22,10,0,0.0,London
112,68,Female,Health,2316.27,2022-11-13,18,0,0.0,North West
113,31,Female,Motor,1108.56,2018-04-29,11,0,0.0,London
114,47,Female,Home,959.33,2022-08-15,29,1,1645.04,Scotland
115,64,Male,Home,1874.52,2020-08-09,65,0,0.0,South East
116,67,Male,Health,1556.18,2021-03-24,26,1,14205.92,Wales
117,44,Female,Life,1533.46,2021-05-22,31,0,0.0,Scotland
118,31,Male,Home,1269.19,2021-04-26,43,1,12535.54,Midlands
119,25,Male,Health,2311.96,2021-03-18,35,0,0.0,Midlands
120,65,Male,Home,2129.96,2019-07-15,18,0,0.0,North West
121,44,Female,Motor,1285.13,2019-06-23,17,0,0.0,Midlands
122,51,Male,Motor,2423.58,2022-02-07,70,0,0.0,Scotland
123,41,Female,Health,1096.88,2021-10-19,20,0,0.0,London
124,73,Male,Health,2255.39,2022-06-16,52,1,6221.33,Midlands
125,32,Female,Home,2322.33,2020-12-09,54,0,0.0,Wales
126,31,Male,Home,1972.78,2021-09-05,34,0,0.0,North West
127,54,Female,Home,615.03,2018-07-05,10,0,0.0,South East
128,31,Male,Health,666.29,2023-02-02,53,0,0.0,North West
129,59,Female,Home,2261.82,2022-08-27,18,0,0.0,South East
130,42,Male,Life,886.63,2022-12-27,36,0,0.0,London
131,68,Female,Home,2940.17,2022-01-09,13,0,0.0,London
132,32,Female,Motor,872.69,2018-03-29,12,0,0.0,London
133,33,Male,Motor,2365.92,2020-04-28,33,0,0.0,London
